id,name,open,labeled,commented,closed
I_kwDOEQQguc5dDjlT,https://github.com/obsidianmd/obsidian-translations/issues/756,2023-01-29T09:54:30Z,,2023-01-29T14:47:01Z,2023-01-30T20:36:11Z
I_kwDOEQQguc5eN-px,https://github.com/obsidianmd/obsidian-translations/issues/758,2023-02-11T08:00:36Z,,2023-03-01T17:37:16Z,2023-03-01T17:37:16Z
I_kwDOEQQguc5fV-92,https://github.com/obsidianmd/obsidian-translations/issues/760,2023-02-25T07:37:46Z,,2023-05-02T18:13:35Z,2023-05-02T18:13:35Z
I_kwDOEQQguc5fjcT8,https://github.com/obsidianmd/obsidian-translations/issues/761,2023-02-28T13:58:08Z,,2023-07-26T16:12:49Z,2023-07-26T16:12:50Z
I_kwDOEQQguc5f2S-h,https://github.com/obsidianmd/obsidian-translations/issues/764,2023-03-03T07:12:02Z,,2023-03-15T18:03:59Z,2023-03-15T18:03:59Z
I_kwDOEQQguc5gcMom,https://github.com/obsidianmd/obsidian-translations/issues/769,2023-03-09T21:13:18Z,,2023-05-02T18:12:41Z,2023-05-02T18:12:41Z
I_kwDOEQQguc5g-VaJ,https://github.com/obsidianmd/obsidian-translations/issues/771,2023-03-16T08:27:25Z,,2023-03-16T08:36:43Z,2023-03-16T08:36:43Z
I_kwDOEQQguc5i68-o,https://github.com/obsidianmd/obsidian-translations/issues/781,2023-04-08T19:24:52Z,,2023-07-26T16:13:01Z,2023-07-26T16:13:01Z
I_kwDOEQQguc5knraa,https://github.com/obsidianmd/obsidian-translations/issues/786,2023-04-28T08:23:56Z,,2023-05-02T18:11:38Z,2023-05-02T18:11:38Z
I_kwDOEQQguc5kx4uk,https://github.com/obsidianmd/obsidian-translations/issues/787,2023-05-01T13:15:10Z,,,2023-05-02T10:38:08Z
I_kwDOEQQguc5mbkAA,https://github.com/obsidianmd/obsidian-translations/issues/800,2023-05-21T13:18:48Z,,,2023-05-21T13:36:33Z
I_kwDOEQQguc5mbmCx,https://github.com/obsidianmd/obsidian-translations/issues/801,2023-05-21T13:45:10Z,,2023-06-15T21:36:42Z,2023-07-19T18:48:04Z
I_kwDOEQQguc5mbnFj,https://github.com/obsidianmd/obsidian-translations/issues/802,2023-05-21T13:59:10Z,,2023-08-13T18:26:41Z,
I_kwDOEQQguc5nrdIo,https://github.com/obsidianmd/obsidian-translations/issues/808,2023-06-03T11:31:07Z,,2023-06-06T16:30:40Z,
I_kwDOEQQguc5pUCqs,https://github.com/obsidianmd/obsidian-translations/issues/810,2023-06-21T06:39:40Z,,2023-06-21T17:55:36Z,2023-07-26T16:13:06Z
I_kwDOEQQguc5rr6Hx,https://github.com/obsidianmd/obsidian-translations/issues/826,2023-07-16T18:13:22Z,,2023-07-26T16:13:14Z,2023-07-26T16:13:14Z
I_kwDOEQQguc5uXptd,https://github.com/obsidianmd/obsidian-translations/issues/834,2023-08-15T15:44:28Z,,2023-11-15T18:29:41Z,2023-11-15T18:29:43Z
I_kwDOEQQguc5wL37D,https://github.com/obsidianmd/obsidian-translations/issues/850,2023-09-05T15:01:37Z,,,2023-09-06T15:13:03Z
I_kwDOEQQguc5wL6oD,https://github.com/obsidianmd/obsidian-translations/issues/851,2023-09-05T15:07:45Z,,2023-09-06T13:42:11Z,2023-09-06T13:42:11Z
I_kwDOEQQguc5yvBX4,https://github.com/obsidianmd/obsidian-translations/issues/868,2023-10-03T20:53:03Z,,2023-10-11T20:17:42Z,2023-10-11T20:21:26Z
I_kwDOEQQguc5zqr53,https://github.com/obsidianmd/obsidian-translations/issues/872,2023-10-12T18:35:42Z,,2023-10-12T19:34:40Z,2023-10-12T20:00:55Z
I_kwDOEQQguc51tt5l,https://github.com/obsidianmd/obsidian-translations/issues/883,2023-11-02T19:34:38Z,,2023-11-02T20:04:10Z,2023-11-02T20:04:10Z
I_kwDOEQQguc531jq5,https://github.com/obsidianmd/obsidian-translations/issues/895,2023-11-25T08:25:44Z,,2024-02-16T16:10:07Z,2024-02-16T16:10:07Z
I_kwDOEQQguc531oeh,https://github.com/obsidianmd/obsidian-translations/issues/896,2023-11-25T09:40:08Z,,2024-02-16T16:09:44Z,2024-02-16T16:09:44Z
I_kwDOEQQguc5325Xz,https://github.com/obsidianmd/obsidian-translations/issues/898,2023-11-26T03:46:51Z,,2024-02-16T16:09:32Z,2024-02-16T16:09:31Z
I_kwDOEQQguc5326On,https://github.com/obsidianmd/obsidian-translations/issues/899,2023-11-26T04:06:37Z,,2024-02-16T16:08:53Z,2024-02-16T16:08:53Z
I_kwDOEQQguc533Afh,https://github.com/obsidianmd/obsidian-translations/issues/900,2023-11-26T06:19:13Z,,2024-02-16T16:09:15Z,2024-02-16T16:09:15Z
I_kwDOEQQguc533DPT,https://github.com/obsidianmd/obsidian-translations/issues/901,2023-11-26T06:54:12Z,,2023-12-17T18:12:13Z,2024-02-16T16:08:30Z
I_kwDOEQQguc6BQ4h6,https://github.com/obsidianmd/obsidian-translations/issues/938,2024-03-05T09:13:46Z,,2024-03-05T09:31:02Z,2024-07-26T15:48:08Z
I_kwDOEQQguc6DFoI6,https://github.com/obsidianmd/obsidian-translations/issues/952,2024-03-21T06:43:45Z,,2024-04-02T19:11:09Z,2024-07-30T19:40:20Z
I_kwDOEQQguc6FQ9hF,https://github.com/obsidianmd/obsidian-translations/issues/959,2024-04-10T14:58:10Z,,2024-09-08T19:54:22Z,
I_kwDOEQQguc6GJpGc,https://github.com/obsidianmd/obsidian-translations/issues/966,2024-04-18T13:15:27Z,,2024-05-27T17:46:26Z,
I_kwDOEQQguc6GleaO,https://github.com/obsidianmd/obsidian-translations/issues/970,2024-04-23T05:21:32Z,,2024-05-26T19:23:54Z,2024-05-27T10:14:44Z
I_kwDOEQQguc6HH933,https://github.com/obsidianmd/obsidian-translations/issues/972,2024-04-27T13:19:14Z,,2024-05-24T19:32:01Z,2024-07-30T19:40:54Z
I_kwDOEQQguc6KDL00,https://github.com/obsidianmd/obsidian-translations/issues/979,2024-05-24T19:10:45Z,,,2024-08-13T15:21:13Z
I_kwDOEQQguc6Ngmr1,https://github.com/obsidianmd/obsidian-translations/issues/1007,2024-06-26T03:52:35Z,,2024-07-30T18:56:26Z,2024-07-30T18:56:26Z
I_kwDOEQQguc6QVTl6,https://github.com/obsidianmd/obsidian-translations/issues/1018,2024-07-21T16:08:34Z,,,
I_kwDOEQQguc6cOzdr,https://github.com/obsidianmd/obsidian-translations/issues/1049,2024-10-29T12:39:29Z,,2024-10-29T13:29:28Z,
I_kwDOEQQguc6jEIGB,https://github.com/obsidianmd/obsidian-translations/issues/1054,2024-12-12T12:29:21Z,,2024-12-12T20:16:54Z,
