id,name,open,labeled,commented,closed
I_kwDOMqJZbM6XdeXE,https://github.com/obsidianmd/obsidian-clipper/issues/60,2024-09-22T13:39:13Z,,2024-09-22T14:14:47Z,2024-09-22T14:14:47Z
I_kwDOMqJZbM6Xn2Zs,https://github.com/obsidianmd/obsidian-clipper/issues/63,2024-09-23T22:18:33Z,2024-11-12T15:24:09Z,2024-09-23T22:49:42Z,2024-09-23T22:49:42Z
I_kwDOMqJZbM6Xn38N,https://github.com/obsidianmd/obsidian-clipper/issues/64,2024-09-23T22:23:36Z,,2024-09-23T22:46:25Z,2024-09-23T22:46:25Z
I_kwDOMqJZbM6Xn4pE,https://github.com/obsidianmd/obsidian-clipper/issues/65,2024-09-23T22:26:01Z,,2024-09-23T22:44:57Z,2024-09-23T22:44:57Z
I_kwDOMqJZbM6X9QQx,https://github.com/obsidianmd/obsidian-clipper/issues/68,2024-09-26T03:24:29Z,,2024-10-01T21:40:42Z,
I_kwDOMqJZbM6YQXjQ,https://github.com/obsidianmd/obsidian-clipper/issues/70,2024-09-28T17:57:26Z,,2024-09-28T19:37:19Z,2024-09-28T19:57:55Z
I_kwDOMqJZbM6YQkBR,https://github.com/obsidianmd/obsidian-clipper/issues/71,2024-09-28T20:10:56Z,,2024-09-28T21:03:06Z,2024-09-28T21:03:06Z
I_kwDOMqJZbM6Ymkub,https://github.com/obsidianmd/obsidian-clipper/issues/75,2024-10-01T21:30:34Z,,2024-10-01T23:44:09Z,2024-10-03T16:35:35Z
I_kwDOMqJZbM6YmsD3,https://github.com/obsidianmd/obsidian-clipper/issues/76,2024-10-01T21:55:37Z,,2024-10-01T23:25:10Z,2024-10-03T16:35:37Z
I_kwDOMqJZbM6Yqb54,https://github.com/obsidianmd/obsidian-clipper/issues/77,2024-10-02T10:56:38Z,,2024-10-02T11:07:33Z,2024-10-02T11:28:48Z
I_kwDOMqJZbM6ZHYpl,https://github.com/obsidianmd/obsidian-clipper/issues/80,2024-10-06T19:33:30Z,,2024-10-06T23:55:10Z,2024-10-06T23:55:18Z
I_kwDOMqJZbM6ZKrGQ,https://github.com/obsidianmd/obsidian-clipper/issues/81,2024-10-07T08:21:57Z,,2024-10-14T23:18:10Z,2024-11-29T13:59:42Z
I_kwDOMqJZbM6ZOrYS,https://github.com/obsidianmd/obsidian-clipper/issues/82,2024-10-07T15:18:21Z,,2024-10-07T15:21:02Z,2024-10-07T15:32:17Z
I_kwDOMqJZbM6ZZp7H,https://github.com/obsidianmd/obsidian-clipper/issues/83,2024-10-08T16:08:58Z,2024-10-10T15:30:21Z,,
I_kwDOMqJZbM6ZnmoY,https://github.com/obsidianmd/obsidian-clipper/issues/85,2024-10-10T01:33:47Z,,2024-10-10T02:14:16Z,2024-10-10T02:14:24Z
I_kwDOMqJZbM6Z2MmU,https://github.com/obsidianmd/obsidian-clipper/issues/86,2024-10-11T11:19:15Z,2024-12-09T18:14:40Z,2024-10-11T19:55:54Z,2024-10-19T22:24:23Z
I_kwDOMqJZbM6Z92Ch,https://github.com/obsidianmd/obsidian-clipper/issues/87,2024-10-12T14:48:29Z,2024-10-13T16:08:58Z,2024-10-12T15:56:33Z,2024-11-17T22:17:06Z
I_kwDOMqJZbM6Z-S4s,https://github.com/obsidianmd/obsidian-clipper/issues/88,2024-10-12T16:39:33Z,,2024-10-12T18:14:41Z,2024-10-12T18:14:44Z
I_kwDOMqJZbM6aL5FU,https://github.com/obsidianmd/obsidian-clipper/issues/91,2024-10-14T18:54:33Z,2024-10-14T19:45:23Z,2024-10-14T19:46:30Z,2024-10-14T19:46:30Z
I_kwDOMqJZbM6ajuRZ,https://github.com/obsidianmd/obsidian-clipper/issues/93,2024-10-16T21:03:48Z,2024-10-16T21:10:43Z,2024-10-16T21:10:45Z,
I_kwDOMqJZbM6alsrp,https://github.com/obsidianmd/obsidian-clipper/issues/94,2024-10-17T04:27:18Z,2024-10-17T17:05:30Z,2024-10-17T17:05:17Z,2024-10-17T23:07:53Z
